Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,59.889999,60.330002,59.340000,59.849998,57.579041,8961000
2020-07-23,60.119999,60.459999,59.570000,59.869999,57.598274,8913200
2020-07-24,59.669998,59.759998,57.549999,57.849998,55.654926,12531900
2020-07-27,57.549999,58.619999,57.349998,58.049999,55.847340,12372000
2020-07-28,58.549999,59.820000,58.240002,59.430000,57.174973,9816300
2020-07-29,59.160000,59.400002,58.590000,59.150002,56.905602,7357900
2020-07-30,58.799999,59.150002,58.340000,58.869999,56.636223,7175200
2020-07-31,58.880001,59.090000,57.770000,58.660000,56.434189,10443000
2020-08-03,59.110001,59.639999,58.950001,59.099998,56.857498,10337900
2020-08-04,58.830002,59.509998,58.529999,59.470001,57.213463,6527600
2020-08-05,59.950001,60.380001,59.410000,59.689999,57.425110,10662800
2020-08-06,62.000000,62.970001,60.419998,61.330002,59.002880,18961900
2020-08-07,61.560001,61.650002,60.419998,61.020000,58.704643,9969100
2020-08-10,60.959999,61.990002,60.770000,61.820000,59.474285,9820900
2020-08-11,62.970001,64.250000,62.689999,63.130001,60.734585,20736000
2020-08-12,63.580002,64.269997,63.450001,63.639999,61.225231,8616200
2020-08-13,63.020000,63.580002,62.900002,63.240002,60.840412,7748700
2020-08-14,63.189999,63.549999,62.750000,63.160000,60.763443,5606900
2020-08-17,63.410000,64.080002,63.169998,63.619999,61.205990,5972400
2020-08-18,63.490002,63.680000,62.900002,63.029999,60.638374,5745600
2020-08-19,63.070000,63.820000,62.950001,63.090000,60.696098,6092700
2020-08-20,62.779999,62.860001,61.930000,62.220001,59.859112,6326300
2020-08-21,62.220001,62.349998,61.740002,62.189999,59.830246,8031400
2020-08-24,62.340000,62.459999,61.700001,62.410000,60.041904,8721000
2020-08-25,62.750000,63.369999,62.500000,62.709999,60.330517,6620600
2020-08-26,62.500000,62.590000,61.580002,62.279999,59.916832,6195800
2020-08-27,62.500000,62.959999,62.240002,62.509998,60.138107,6389500
2020-08-28,62.500000,62.590000,61.849998,62.369999,60.003418,6380400
2020-08-31,62.380001,62.799999,61.950001,62.200001,59.839870,14189800
2020-09-01,62.200001,62.259998,60.689999,60.970001,58.656544,12154000
2020-09-02,60.790001,61.820000,60.459999,61.599998,59.262634,13287300
2020-09-03,61.619999,62.020000,59.529999,60.049999,57.771450,16483900
2020-09-04,60.180000,60.529999,59.250000,59.950001,57.675247,16405800
2020-09-08,59.869999,60.000000,58.139999,58.529999,56.309128,11735900
2020-09-09,58.930000,59.599998,58.759998,59.080002,56.838257,7173700
2020-09-10,58.990002,59.299999,58.180000,58.290001,56.078232,11995300
2020-09-11,58.459999,59.270000,58.430000,58.990002,56.751675,8573500
2020-09-14,59.189999,60.090000,59.070000,59.700001,57.434731,6242400
2020-09-15,59.970001,60.110001,59.389999,59.529999,57.271179,8259100
2020-09-16,59.669998,59.970001,59.240002,59.450001,57.194218,6159800
2020-09-17,59.000000,59.430000,58.259998,59.400002,57.146114,6624800
2020-09-18,59.090000,59.720001,58.830002,59.270000,57.021049,13944500
2020-09-21,58.919998,58.959999,56.900002,57.770000,55.577969,16199700
2020-09-22,57.770000,58.849998,57.630001,58.759998,56.530396,12466800
2020-09-23,59.049999,59.500000,58.619999,58.990002,56.751675,11436600
2020-09-24,58.480000,58.820000,57.700001,58.250000,56.039753,10358800
2020-09-25,58.259998,59.840000,58.160000,59.490002,57.232697,9835900
2020-09-28,59.369999,60.209999,58.959999,59.709999,57.444351,9616600
2020-09-29,59.840000,60.939999,59.680000,59.900002,57.627144,8084100
2020-09-30,60.139999,60.639999,59.790001,60.290001,58.002342,10322300
2020-10-01,60.380001,60.570000,59.630001,59.820000,57.982956,8747600
2020-10-02,59.389999,60.009998,58.680000,58.720001,56.916740,12574300
2020-10-05,58.549999,59.279999,57.950001,59.200001,57.382000,10992300
2020-10-06,59.340000,59.459999,57.610001,57.740002,55.966839,13113300
2020-10-07,58.150002,60.980000,57.959999,60.419998,58.564533,14632600
2020-10-08,60.849998,62.090000,60.459999,61.619999,59.727684,11787300
2020-10-09,61.799999,62.299999,61.610001,61.820000,59.921535,9408400
2020-10-12,61.980000,62.250000,61.480000,61.830002,59.931232,11531800
2020-10-13,61.560001,62.009998,60.980000,61.130001,59.252728,8374300
2020-10-14,61.110001,61.630001,60.720001,61.000000,59.126720,8822600
2020-10-15,60.590000,60.900002,60.310001,60.419998,58.564533,13104700
2020-10-16,60.669998,61.740002,60.650002,61.240002,59.359356,9385400
2020-10-19,61.799999,62.419998,60.509998,60.770000,58.903782,10999100
2020-10-20,61.090000,61.270000,60.529999,60.639999,58.777775,6635100
2020-10-21,60.389999,60.750000,59.950001,60.029999,58.186508,8004800
2020-10-22,59.980000,61.009998,59.950001,60.759998,58.894093,7034900
2020-10-23,60.830002,61.220001,60.070000,60.130001,58.283440,7336800
2020-10-26,59.820000,60.139999,59.040001,59.669998,57.837563,7484100
2020-10-27,59.259998,59.840000,58.560001,58.740002,56.936127,10008000
2020-10-28,58.000000,58.540001,57.400002,57.759998,55.986217,11931200
2020-10-29,57.810001,58.430000,56.750000,57.919998,56.141304,8838600
2020-10-30,57.709999,58.480000,57.590000,58.450001,56.655033,11155300
2020-11-02,59.189999,59.639999,58.840000,59.490002,57.663094,10318500
2020-11-03,61.009998,62.240002,60.209999,61.240002,59.359356,14236000
2020-11-04,63.959999,66.230003,63.750000,65.430000,63.420681,24699700
2020-11-05,64.989998,65.379997,63.540001,63.750000,61.792271,17676100
2020-11-06,63.610001,64.919998,63.380001,63.799999,61.840736,9680100
2020-11-09,65.120003,66.080002,63.990002,64.080002,62.112137,15533300
2020-11-10,64.209999,64.800003,63.709999,64.519997,62.538620,11210000
2020-11-11,65.070000,65.120003,63.029999,63.419998,61.472404,8269700
2020-11-12,63.139999,63.139999,62.200001,62.750000,60.822983,7602900
2020-11-13,62.790001,64.040001,62.770000,63.619999,61.666264,9433500
2020-11-16,64.120003,64.930000,63.849998,64.500000,62.519238,7199600
2020-11-17,64.470001,64.699997,63.880001,64.320000,62.344769,8610200
2020-11-18,64.669998,64.699997,62.000000,62.009998,60.105709,12455300
2020-11-19,62.200001,62.400002,61.150002,62.090000,60.183243,9025500
2020-11-20,61.849998,62.330002,61.400002,61.610001,59.717987,8299700
2020-11-23,61.740002,62.009998,61.080002,61.919998,60.018467,9591100
2020-11-24,61.950001,63.509998,61.880001,63.220001,61.278549,13510100
2020-11-25,63.419998,63.500000,62.200001,62.840000,60.910221,9520600
2020-11-27,63.279999,63.689999,62.880001,63.049999,61.113762,4178800
2020-11-30,63.049999,63.270000,61.990002,62.400002,60.483730,14996600
2020-12-01,63.150002,63.740002,62.340000,62.410000,60.493423,9870500
2020-12-02,62.410000,62.830002,61.900002,62.180000,60.270485,8077200
2020-12-03,62.000000,62.290001,61.580002,61.779999,59.882763,10944900
2020-12-04,61.790001,62.310001,61.650002,62.310001,60.396492,8159000
2020-12-07,62.189999,62.590000,60.970001,61.200001,59.320580,8974000
2020-12-08,61.169998,61.779999,60.849998,61.119999,59.243034,10830600
2020-12-09,61.500000,61.560001,60.330002,60.919998,59.049175,10244500
2020-12-10,60.910000,61.040001,59.959999,60.200001,58.351288,9428600
2020-12-11,60.330002,61.470001,60.200001,60.720001,58.855320,10021600
2020-12-14,61.009998,61.099998,59.919998,59.970001,58.128357,11400400
2020-12-15,61.259998,62.639999,60.849998,62.570000,60.648502,14940600
2020-12-16,62.500000,63.279999,62.290001,62.340000,60.425571,9498000
2020-12-17,62.570000,62.820000,61.990002,62.540001,60.619427,10642400
2020-12-18,62.650002,63.450001,62.439999,63.119999,61.181614,21177800
2020-12-21,62.000000,62.119999,61.340000,62.009998,60.105709,13055700
2020-12-22,61.770000,61.970001,61.130001,61.430000,59.543514,8113400
2020-12-23,61.369999,61.630001,61.000000,61.000000,59.126720,6235000
2020-12-24,61.119999,61.360001,60.939999,61.150002,59.272114,3099700
2020-12-28,61.419998,61.740002,60.810001,61.119999,59.243034,6855700
2020-12-29,61.700001,61.939999,61.340000,61.419998,59.533821,6653400
2020-12-30,61.619999,62.160000,61.480000,61.919998,60.018467,6624100
2020-12-31,61.439999,62.110001,60.970001,62.029999,60.604679,8649300
2021-01-04,61.740002,62.150002,60.500000,61.380001,59.969616,12429600
2021-01-05,61.110001,61.709999,60.470001,61.549999,60.135712,11584600
2021-01-06,60.549999,62.049999,60.520000,61.700001,60.282265,12426200
2021-01-07,61.340000,62.630001,61.000000,62.360001,60.927097,10931900
2021-01-08,62.189999,63.180000,62.150002,62.490002,61.054111,10010500
2021-01-11,63.400002,65.250000,63.240002,64.970001,63.477123,18185700
2021-01-12,65.360001,66.300003,64.910004,65.430000,63.926556,15757500
2021-01-13,65.500000,65.959999,64.639999,64.730003,63.242645,10292400
2021-01-14,64.910004,66.370003,64.779999,66.019997,64.502998,12479800
2021-01-15,66.019997,66.860001,65.540001,66.540001,65.011055,11296500
2021-01-19,66.849998,67.160004,66.330002,66.739998,65.206451,10847800
2021-01-20,66.570000,66.820000,66.000000,66.250000,64.727715,9609600
2021-01-21,65.650002,66.199997,63.980000,64.180000,62.705276,14064300
2021-01-22,63.889999,65.029999,63.759998,64.559998,63.076538,9071900
2021-01-25,64.639999,65.139999,63.959999,64.830002,63.340340,9171000
2021-01-26,64.500000,65.650002,64.379997,64.440002,62.959301,11284100
2021-01-27,63.889999,63.889999,61.900002,62.020000,60.594910,13847700
2021-01-28,62.830002,63.380001,62.200001,62.290001,60.858704,17514700
2021-01-29,62.299999,62.799999,61.029999,61.430000,60.018467,16092000
2021-02-01,61.910000,62.869999,61.660000,62.209999,60.780544,11240900
2021-02-02,63.000000,64.639999,62.889999,62.939999,61.493771,16059700
2021-02-03,62.869999,63.209999,62.009998,62.029999,60.604679,15115000
2021-02-04,62.000000,62.889999,61.240002,61.560001,60.145485,15997000
2021-02-05,61.060001,61.770000,60.509998,60.919998,59.520184,16249200
2021-02-08,61.349998,61.369999,59.669998,60.230000,58.846039,18864300
2021-02-09,60.230000,60.340000,59.680000,59.759998,58.386837,14226100
2021-02-10,60.099998,60.529999,59.610001,60.000000,58.621326,13071000
2021-02-11,60.000000,60.220001,59.700001,59.990002,58.611557,8256800
2021-02-12,59.860001,60.279999,59.650002,59.990002,58.611557,9493600
2021-02-16,60.099998,60.369999,59.369999,59.400002,58.035110,12386400
2021-02-17,59.490002,60.930000,59.419998,60.590000,59.197769,11673500
2021-02-18,60.310001,61.720001,60.299999,61.020000,59.617886,14076600
2021-02-19,61.139999,61.500000,60.520000,60.599998,59.207535,16997100
2021-02-22,60.419998,61.240002,59.709999,60.990002,59.588577,9916600
2021-02-23,61.200001,61.380001,60.029999,60.720001,59.324783,13742000
